ID,ANO,MES,MARCA,MODELO,TIPOVEHICULO,KM_MES,GrCo2_km,GrCo2
747,2023,2,01476 - PEUGEOT,BOXER 2.0,20 - FURGONETA,331,180,60
749,2023,2,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,545,173,94
750,2023,2,01709 - SEAT,ALHAMBRA,40 - TURISMO,1604,150,241
755,2023,2,01885 - TOYOTA,LAND CRUISER (150 SERIE),25 - TODO TERRENO,3528,246,868
757,2023,2,00388 - CITROEN,C2,03 - CAMION FURGON,5,113,1
758,2023,2,01551 - RENAULT,KANGOO EXPRESS Z.E.,20 - FURGONETA,458,0,0
759,2023,2,00388 - CITROEN,C2,03 - CAMION FURGON,86,113,10
771,2023,2,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,292,89,26
773,2023,2,01382 - NISSAN,NISSAN E-NV200,20 - FURGONETA,440,0,0
775,2023,2,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,611,173,106
777,2023,2,01382 - NISSAN,KUBISTAR,03 - CAMION FURGON,95,147,14
787,2023,3,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,4737,101,478
791,2023,3,01709 - SEAT,TOLEDO,40 - TURISMO,1211,114,138
793,2023,3,02339 - JEEP,RENEGADE,40 - TURISMO,501,134,67
797,2023,3,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,201,170,34
800,2023,3,01709 - SEAT,ALTEA,40 - TURISMO,520,119,62
802,2023,3,01476 - PEUGEOT,BOXER 2.0,20 - FURGONETA,0,180,0
804,2023,3,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,230,173,40
807,2023,3,01709 - SEAT,LEON,40 - TURISMO,839,96,81
811,2023,3,01709 - SEAT,LEON,40 - TURISMO,867,96,83
815,2023,3,01382 - NISSAN,NISSAN LEAF 40KWH,40 - TURISMO,356,0,0
817,2023,3,00678 - FIAT,DOBLO,20 - FURGONETA,1191,133,158
819,2023,3,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,746,84,63
823,2023,3,05466 - UNVI,TGEVEGA,30 - AUTOBUS,3381,214,724
826,2023,3,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,352,89,31
827,2023,3,01382 - NISSAN,NISSAN E-NV200,20 - FURGONETA,314,0,0
829,2023,3,00678 - FIAT,SEICENTO,21 - FURGONETA MIXTA,99,143,14
833,2023,3,01709 - SEAT,LEON ECOMOTIVE,40 - TURISMO,1064,99,105
835,2023,3,00678 - FIAT,SEICENTO,40 - TURISMO,58,143,8
843,2023,4,01252 - MERCEDES,VIANO 2.0,40 - TURISMO,59,218,13
844,2023,4,05466 - UNVI,SPRINTER,30 - AUTOBUS,1171,436,511
851,2023,4,00678 - FIAT,FIAT DUCATO,20 - FURGONETA,786,166,130
852,2023,4,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,203,170,35
854,2023,4,01709 - SEAT,TOLEDO,40 - TURISMO,703,106,75
855,2023,4,01709 - SEAT,ALTEA,40 - TURISMO,545,119,65
860,2023,4,01709 - SEAT,ALHAMBRA,40 - TURISMO,3109,150,466
861,2023,4,03670 - IVECO,70C18,03 - CAMION FURGON,119,214,25
863,2023,4,01885 - TOYOTA,LAND CRUISER (150 SERIE),25 - TODO TERRENO,2299,246,566
864,2023,4,02009 - VOLKSWAGEN,PASSAT CC,40 - TURISMO,1585,137,217
868,2023,4,01551 - RENAULT,KANGOO EXPRESS Z.E.,20 - FURGONETA,368,0,0
872,2023,4,00678 - FIAT,DOBLO,20 - FURGONETA,1718,133,228
876,2023,4,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,190,84,16
878,2023,4,05466 - UNVI,TGEVEGA,30 - AUTOBUS,2116,214,453
881,2023,4,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,715,89,64
898,2023,5,01252 - MERCEDES,VIANO 2.0,40 - TURISMO,106,218,23
899,2023,5,05466 - UNVI,SPRINTER,30 - AUTOBUS,855,436,373
902,2023,5,01709 - SEAT,IBIZA,40 - TURISMO,297,109,32
905,2023,5,02339 - JEEP,RENEGADE,40 - TURISMO,1921,134,257
906,2023,5,00678 - FIAT,FIAT DUCATO,20 - FURGONETA,866,166,144
907,2023,5,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,350,170,60
911,2023,5,01709 - SEAT,LEON 1.9,40 - TURISMO,2538,135,343
917,2023,5,01709 - SEAT,LEON,40 - TURISMO,756,96,73
921,2023,5,01709 - SEAT,LEON,40 - TURISMO,1188,96,114
922,2023,5,00388 - CITROEN,C2,03 - CAMION FURGON,405,113,46
927,2023,5,00678 - FIAT,DOBLO,20 - FURGONETA,1901,133,253
929,2023,5,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,907,84,76
930,2023,5,01709 - SEAT,TOLEDO,40 - TURISMO,1523,106,161
931,2023,5,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,132,84,11
932,2023,5,01709 - SEAT,IBIZA,40 - TURISMO,440,109,48
933,2023,5,05466 - UNVI,TGEVEGA,30 - AUTOBUS,4251,214,910
935,2023,5,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,524,89,47
936,2023,5,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,501,89,45
939,2023,5,00678 - FIAT,SEICENTO,21 - FURGONETA MIXTA,15,143,2
947,2023,5,03670 - IVECO,CC80E18M P,00 - CAMION,3010,220,662
948,2023,6,01181 - MAN,TGL,03 - CAMION FURGON,2221,354,786
953,2023,6,01252 - MERCEDES,VIANO 2.0,40 - TURISMO,411,218,90
954,2023,6,05466 - UNVI,SPRINTER,30 - AUTOBUS,673,436,293
955,2023,6,01551 - RENAULT,KANGOO,0G - VEHICULO MIXTO ADAPTABLE,447,140,63
956,2023,6,01709 - SEAT,TOLEDO,40 - TURISMO,1008,114,115
957,2023,6,01709 - SEAT,IBIZA,40 - TURISMO,460,109,50
961,2023,6,00678 - FIAT,FIAT DUCATO,20 - FURGONETA,416,166,69
962,2023,6,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,284,170,48
966,2023,6,01709 - SEAT,LEON 1.9,40 - TURISMO,2297,135,310
967,2023,6,01476 - PEUGEOT,BOXER 2.0,20 - FURGONETA,12,180,2
971,2023,6,03670 - IVECO,70C18,03 - CAMION FURGON,504,214,108
974,2023,6,02009 - VOLKSWAGEN,PASSAT CC,40 - TURISMO,1687,137,231
975,2023,6,01885 - TOYOTA,LAND CRUISER (150 SERIE),25 - TODO TERRENO,214,246,53
976,2023,6,01709 - SEAT,LEON,40 - TURISMO,1264,96,121
979,2023,6,00388 - CITROEN,C2,03 - CAMION FURGON,83,113,9
980,2023,6,01382 - NISSAN,NISSAN LEAF 40KWH,40 - TURISMO,402,0,0
983,2023,6,01709 - SEAT,IBIZA,40 - TURISMO,60,109,7
991,2023,6,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,234,89,21
